23/,工場,名詞/,一般/,*/,*/,6
189/,機械,名詞/,一般/,*/,*/,6
148/,動き,名詞/,一般/,*/,*/,6
6517/,追加,名詞/,サ変接続/,*/,*/,6
610/,よう,名詞/,非自立/,助動詞語幹/,*/,6
15026/,ＳＮＢ,名詞/,固有名詞/,組織/,*/,6
80/,影響,名詞/,サ変接続/,*/,*/,6
8966/,同社,名詞/,一般/,*/,*/,6
40/,育成,名詞/,サ変接続/,*/,*/,5
13553/,値下げ,名詞/,サ変接続/,*/,*/,5
692/,手作業,名詞/,一般/,*/,*/,5
9333/,導入,名詞/,サ変接続/,*/,*/,5
10573/10574/,段階的,名詞/名詞/,一般/接尾/,*/形容動詞語幹/,*/*/,5
744/,一部,名詞/,副詞可能/,*/,*/,5
9324/,自動車,名詞/,一般/,*/,*/,5
5770/,各社,名詞/,一般/,*/,*/,5
5763/,低迷,名詞/,サ変接続/,*/,*/,5
10653/,購入,名詞/,サ変接続/,*/,*/,5
7779/,シェア,名詞/,一般/,*/,*/,5
42/,強化,名詞/,サ変接続/,*/,*/,5
11265/11266/11267/,０８年,名詞/名詞/名詞/,数/数/接尾/,*/*/助数詞/,*/*/*/,5
11245/,燃費,名詞/,一般/,*/,*/,5
16973/16974/,水素ステーション,名詞/名詞/,一般/一般/,*/*/,*/*/,5
186/,技能,名詞/,一般/,*/,*/,5
8461/,スイス,名詞/,固有名詞/,地域/,国/,5
8921/,ロイター,名詞/,固有名詞/,組織/,*/,5
6991/6992/,部品メーカー,名詞/名詞/,一般/一般/,*/*/,*/*/,5
8940/8941/,残業代,名詞/名詞/,サ変接続/接尾/,*/一般/,*/*/,5
6918/,予想,名詞/,サ変接続/,*/,*/,5
555/,計画,名詞/,サ変接続/,*/,*/,5
6528/,今回,名詞/,副詞可能/,*/,*/,5
7073/,増加,名詞/,サ変接続/,*/,*/,5
11416/11417/,安全性,名詞/名詞/,形容動詞語幹/接尾/,*/一般/,*/*/,5
8749/8750/8751/,１３日,名詞/名詞/名詞/,数/数/接尾/,*/*/助数詞/,*/*/*/,4
7162/,大半,名詞/,一般/,*/,*/,4
8772/,価格,名詞/,一般/,*/,*/,4
6972/6973/,特別損失,名詞/名詞/,形容動詞語幹/サ変接続/,*/*/,*/*/,4
5790/,輸出,名詞/,サ変接続/,*/,*/,4
9484/,その後,名詞/,副詞可能/,*/,*/,4
